SKU,Name,Published,Is featured?,Short description,Categories,Stock,Regular price,_retail_price,_wholesale_price,_bulk_price,Images,product_features
PP-ECO-60X160,Porta Pendón Económico 60×160,1,0,"Roll-up económico ideal para promociones y eventos. Fácil de transportar y montar en segundos.","Porta Pendones",100,25000,25000,21000,18000,product-rollup.jpg,"Montaje rápido|Incluye bolso|Económico"
PP-ECO-80X180,Porta Pendón Económico 80×180,1,1,"Roll-up económico con excelente relación precio-calidad. Perfecto para ferias y puntos de venta.","Porta Pendones",300,32000,32000,27000,23000,product-rollup.jpg,"Montaje rápido|Incluye bolso|Alta demanda"
PP-ECO-80X200,Porta Pendón Económico 80×200,1,1,"El más popular de nuestra línea económica. Tamaño estándar para máximo impacto visual.","Porta Pendones",500,35000,35000,29000,25000,product-rollup.jpg,"Montaje en 30 segundos|Incluye bolso de transporte|Gráfica intercambiable"
PP-ECO-85X200,Porta Pendón Económico 85×200,1,0,"Versión de 85cm de ancho para mayor área de impresión. Ideal para mensajes con más contenido.","Porta Pendones",200,38000,38000,32000,27000,product-rollup.jpg,"Mayor área visual|Incluye bolso|Fácil transporte"
PP-ECO-100X200,Porta Pendón Económico 100×200,1,0,"El más grande de la línea económica. Máximo impacto visual para tu marca.","Porta Pendones",100,42000,42000,35000,30000,product-rollup.jpg,"Máximo impacto|Incluye bolso|Ideal para stands"
PP-PRO-80X200,Porta Pendón Pro 80×200,1,1,"Roll-up profesional con base reforzada y sistema anti-rizo. Calidad superior garantizada.","Porta Pendones",50,55000,55000,46000,40000,product-rollup.jpg,"Sistema anti-rizo|Base reforzada|Acabado premium"
PP-PRO-85X200,Porta Pendón Pro 85×200,1,0,"Versión profesional de 85cm. Ideal para uso intensivo en eventos y ferias.","Porta Pendones",50,58000,58000,49000,42000,product-rollup.jpg,"Sistema anti-rizo|Base reforzada|Uso intensivo"
PP-PRO-100X200,Porta Pendón Pro 100×200,1,1,"El buque insignia de nuestra línea profesional. Máxima calidad y durabilidad.","Porta Pendones",50,65000,65000,55000,48000,product-rollup.jpg,"Premium|Sistema anti-rizo|Garantía extendida"
MINI-ROLLER-A4,Mini Porta Pendón Roller A4,1,0,"Perfecto para escritorios y mostradores. Tamaño compacto con gran impacto.","Porta Pendones Mini",50,18000,18000,15000,12000,product-rollup.jpg,"Tamaño escritorio|Fácil cambio de gráfica|Elegante"
MINI-ROLLER-A3,Mini Porta Pendón Roller A3,1,0,"Versión A3 para mayor visibilidad en puntos de venta y recepciones.","Porta Pendones Mini",50,22000,22000,18000,15000,product-rollup.jpg,"Tamaño mostrador|Mayor visibilidad|Profesional"
MINI-ECO-24X40,Mini Porta Pendón Eco 24×40,1,0,"Opción económica para señalética de escritorio y puntos de información.","Porta Pendones Mini",100,15000,15000,12000,10000,product-rollup.jpg,"Económico|Compacto|Versátil"
PA-1C,Panel Araña Textil 1 Cuerpo,1,0,"Backdrop textil recto de 1 cuerpo. Montaje rápido tipo araña con tela tensada.","Panel Araña",50,95000,95000,82000,72000,product-popup.jpg,"Montaje tipo araña|Tela tensada|Sin arrugas"
PA-2C,Panel Araña Textil 2 Cuerpos,1,1,"Backdrop textil de 2 cuerpos para mayor cobertura. Ideal para conferencias.","Panel Araña",50,165000,165000,142000,125000,product-popup.jpg,"2 cuerpos|Gran cobertura|Profesional"
PA-3C,Panel Araña Textil 3 Cuerpos,1,0,"Sistema de 3 cuerpos para stands y escenarios. Máximo impacto visual.","Panel Araña",50,225000,225000,195000,170000,product-popup.jpg,"3 cuerpos|Escenarios|Alto impacto"
PA-4C,Panel Araña Textil 4 Cuerpos,1,1,"El más grande de la línea. Para eventos corporativos y grandes escenarios.","Panel Araña",50,295000,295000,255000,220000,product-popup.jpg,"4 cuerpos|Eventos corporativos|Premium"
LIGHTBOX-TOTEM-85X200,Light Box Totem 85×200,1,1,"Totem luminoso plegable con iluminación LED integrada. Alto impacto visual día y noche.","Light Box",10,185000,185000,160000,140000,product-lightbox.jpg,"Iluminación LED|Plegable|Doble cara"
LIGHTBOX-TOTEM-100X200,Light Box Totem 100×200,1,1,"Versión grande del totem luminoso. Perfecto para centros comerciales y lobbies.","Light Box",10,215000,215000,185000,160000,product-lightbox.jpg,"Máximo impacto|LED premium|Fácil transporte"
MESA-TEXTIL-100X100,Mesa Textil 100×100,1,0,"Counter promocional con funda textil personalizable. Ideal para activaciones.","Counters",50,125000,125000,108000,95000,product-counter.jpg,"Funda textil|Fácil montaje|Portable"
MESA-TABLERO-LUZ-100X100,Mesa con Tablero Luminoso 100×100,1,1,"Counter con tablero retroiluminado LED. Destaca tu marca con luz.","Counters",10,185000,185000,160000,140000,product-counter.jpg,"Tablero LED|Alto impacto|Profesional"
MASTIL-CURVO-2.8,Mástil Curvo 2.8 mts,1,0,"Mástil de bandera curvo de 2.8 metros. Ideal para exteriores y eventos.","Banderas",300,35000,35000,30000,26000,product-flags.jpg,"Fibra de vidrio|Resistente al viento|Curvo"
MASTIL-CURVO-3.4,Mástil Curvo 3.4 mts,1,1,"Mástil de bandera curvo de 3.4 metros. Mayor visibilidad para tu marca.","Banderas",500,42000,42000,36000,31000,product-flags.jpg,"Fibra de vidrio|Alta visibilidad|Popular"
MASTIL-CURVO-4.5,Mástil Curvo 4.5 mts,1,0,"El más alto de la línea. Máxima visibilidad para eventos y exteriores.","Banderas",200,55000,55000,47000,40000,product-flags.jpg,"Máxima altura|Profesional|Eventos grandes"
BASE-C,Base Cuadrada para Bandera,1,0,"Base metálica cuadrada con agua/arena. Estable y resistente.","Banderas",50,28000,28000,24000,20000,product-flags.jpg,"Relleno agua/arena|Estable|Durable"
BASE-U,Base U para Bandera,1,0,"Base tipo U para superficies planas. Compacta y efectiva.","Banderas",100,22000,22000,18000,15000,product-flags.jpg,"Compacta|Fácil transporte|Interiores"
BASE-XPRO-50,Base X Pro Negra 50cm,1,1,"Base tipo X profesional de 50cm. Elegante acabado negro mate.","Banderas",1000,18000,18000,15000,12000,product-flags.jpg,"Acabado negro mate|Profesional|Compacta"
